vote_average,original_language
7.002145620140022,en
5.298266725751601,it
5.0456113746453335,en
6.243311866483956,en
5.902846975574763,en
6.6406839862606795,en
8.636701067788518,en
6.102955572641573,es
5.403494955479305,en
4.944145303403995,en
4.949091823353903,en
3.805850539333319,ko
7.399115412518368,de
2.9842161969008854,en
7.282683751126305,en
4.966169223247501,en
5.54528093019836,en
5.037711095804685,en
8.41163515030612,en
6.451749156192204,en
7.327663776452486,en
8.210017586167147,en
6.51398612128275,en
4.521680118242542,en
5.7718877448273505,en
4.886627979650696,fr
5.680017746635161,en
6.19948606952115,en
6.211049681411517,en
7.079467315276816,en
7.061900062837024,en
5.849346835528034,en
7.01983998469156,en
5.175960217596837,it
7.972169738394755,ko
5.151733067673531,de
8.067141459916304,en
3.972582512755211,en
5.787019079187782,en
6.049888432792817,en
6.707597042608878,en
7.687836835558467,en
4.327156916063761,en
4.338025436935639,ja
4.028462121880688,en
8.371670342729926,en
6.801014731376511,en
4.626872903848407,en
5.805979619868434,en
7.896193196526552,en
5.582821154533143,ko
5.494217793313241,fr
4.828054939765412,zh
4.462511529271856,ja
7.951982708072533,en
8.51085238311309,zh
4.767921636343725,en
8.37177379309512,en
5.715451346317703,en
7.1053917868344065,en
8.396025308261635,en
5.955384429665463,en
5.508087119598962,de
7.610284799866431,en
4.521406656098903,en
7.893130937624629,en
6.4741882745691575,en
5.133374237768734,de
5.410067997491735,en
3.9248062322574513,ru
5.195741750064015,fr
5.831929096992368,en
4.7787614527285385,en
5.931802535806494,de
6.981077999090168,en
6.08506868996203,en
6.9940887397789,fr
5.139801086739303,en
7.984222080366324,en
6.438499166074538,en
8.317885754632115,es
10.005723070798659,en
5.41595348936371,en
5.945570053955402,en
6.01003147042405,en
7.163922653040999,en
8.26304243464935,en
5.296084966381568,en
6.571866399717109,ja
6.280112727526516,en
7.317018603845004,en
8.519854709873,en
5.639507643850478,fr
3.6713169981769758,en
7.115852515320439,fr
5.170552635642613,en
6.169181287185696,en
7.551183325032481,en
6.737717836758472,en
6.117458216779356,en
5.604699782460492,en
2.1279862535179492,en
7.411493711198466,en
6.017556537645344,en
8.270004417533588,ja
6.920651861359875,en
5.3513133639510455,en
7.60030513256406,fr
7.928719833336321,en
6.086070468776227,en
8.21783783314096,en
5.572450617751891,en
6.2394716541118544,zh
6.85711258157817,de
7.5117776070299875,en
6.932282772923835,es
5.501014229155241,de
8.049676356666689,en
5.813359015340372,ja
5.440645227137288,en
5.168493049030004,de
8.909982587214502,ja
